date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:07	3171/3171	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202016%2017:16:06%20GMT	http://localhost:6677/robots.txt		(from )
12:16:07	439/439	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Oct%202016%2017:16:06%20GMT	http://localhost:6677/	C:/My%20Web%20Sites/H4Net/localhost_6677/index.html	(from )
12:16:07	445/445	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Oct%202016%2017:16:06%20GMT	http://localhost:6677/LineCharts	C:/My%20Web%20Sites/H4Net/localhost_6677/LineCharts.0.delayed	(from http://localhost:6677/)
12:16:07	19916/19916	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202016%2017:16:06%20GMT	http://localhost:6677/LineCharts/Basic	C:/My%20Web%20Sites/H4Net/localhost_6677/LineCharts/Basic.html	(from http://localhost:6677/)
12:16:18	35957/35957	---M--	200	added ('OK')	application/javascript	etag:%222bbac68cf9cbd11:0%22	http://localhost:6677/Content/styles/js/bootstrap.min.js	C:/My%20Web%20Sites/H4Net/localhost_6677/Content/styles/js/bootstrap.min.js	(from http://localhost:6677/LineCharts/Basic)
12:16:22	26827/26827	---M-Z	200	added ('OK')	application/javascript	etag:%2259f5f10d39e3aed6c35a629f6d63146d%22	http://code.highcharts.com/highcharts-more.js	C:/My%20Web%20Sites/H4Net/code.highcharts.com/highcharts-more.js	(from http://localhost:6677/LineCharts/Basic)
12:16:23	594716/594716	---MCZ	200	added ('OK')	text/css	etag:%2296d1b98cf9cbd11:0%22	http://localhost:6677/Content/styles.css	C:/My%20Web%20Sites/H4Net/localhost_6677/Content/styles.css	(from http://localhost:6677/LineCharts/Basic)
12:16:23	9003/9003	---M-Z	200	added ('OK')	application/javascript	etag:%2262ce12129edccda30cb1025da623dfce%22	http://code.highcharts.com/modules/data.js	C:/My%20Web%20Sites/H4Net/code.highcharts.com/modules/data.js	(from http://localhost:6677/LineCharts/Basic)
12:16:23	4813/4813	---M--	200	added ('OK')	image/svg+xml	etag:%224965bf8cf9cbd11:0%22	http://localhost:6677/Content/styles/imgs/logo.svg	C:/My%20Web%20Sites/H4Net/localhost_6677/Content/styles/imgs/logo.svg	(from http://localhost:6677/LineCharts/Basic)
12:16:24	22583/22583	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202016%2017:16:23%20GMT	http://localhost:6677/LineCharts/AjaxLoadedClickablePoints	C:/My%20Web%20Sites/H4Net/localhost_6677/LineCharts/AjaxLoadedClickablePoints.html	(from http://localhost:6677/LineCharts/Basic)
